,Municipality,Total,BE,CDS-PP,CDS-PP.PPM,JPP,L/TDA,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPD/PSD.CDS-PP,PPM,PPV/CDC,PS,PTP,PTP-MAS,PURP,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Coordinates,x,y,Total_Avarage_income,Male_Avarage_income,Female_Avarage_Income,Unemployment_%Rate_2017,Unemployment_Rate_2017
149,Vila Nova de Paiva,2499,101,0,0,0,8,13,9,10,64,12,14,8,0,1662,11,0,568,0,13,6,PPD/PSD.CDS-PP,0.6650660264105642,4813,539,2984.0,1291.0,0.11198836484521088,0.619987533762726,0.26823187201329735,"(40.8511511, -7.7295377)",40.8511511,-7.729537700000001,640.7,674,611.6,7.9,0.079
150,Viseu,49053,4349,0,0,0,369,172,212,450,1833,360,658,160,0,25504,137,0,14547,0,211,91,PPD/PSD.CDS-PP,0.5199274254377918,97636,13558,64091.0,19988.0,0.13886271457249375,0.656427956901143,0.20471957065017002,"(40.6565861, -7.9124712)",40.656586100000006,-7.9124712,779.7,810.6,742.2,6.5,0.065
151,Vouzela,5380,344,0,0,0,20,12,11,17,162,45,58,18,0,2908,9,0,1743,0,20,13,PPD/PSD.CDS-PP,0.5405204460966543,9855,1014,6035.0,2807.0,0.10289193302891933,0.6123795027904617,0.284830035514967,"(40.7231807, -8.1120232)",40.7231807,-8.112023200000001,699,785.1,646.9,6.3,0.063
152,Castelo Branco,28092,3066,0,0,0,147,125,79,308,1467,295,296,176,0,9863,127,0,11942,0,106,95,PS,0.4251032322369358,52915,6497,33119.0,13299.0,0.12278181989983937,0.6258905792308419,0.2513276008693187,"(39.8031161, -7.4597725)",39.803116100000004,-7.459772500000001,770.9,810.4,730.2,5.9,0.059000000000000004
153,Idanha-a-Nova,4817,333,0,0,0,17,29,22,33,259,66,60,17,0,1540,39,0,2357,0,19,26,PS,0.4893086983599751,8450,805,4179.0,3466.0,0.09526627218934912,0.4945562130177515,0.41017751479289943,"(39.9013925, -7.200580599999999)",39.9013925,-7.200580599999999,688.2,705.9,663.2,10.8,0.10800000000000001
154,Oleiros,3124,141,0,0,0,2,15,9,20,63,17,34,15,0,2058,16,0,715,0,10,9,PPD/PSD.CDS-PP,0.6587708066581306,5159,320,2838.0,2002.0,0.062027524714091876,0.5501066098081023,0.3880597014925373,"(39.9185272, -7.9137986)",39.91852720000001,-7.913798599999999,722.6,765.1,643.2,3.7,0.037000000000000005
155,Penamacor,2567,256,0,0,0,12,20,7,7,139,40,36,20,0,1071,27,0,904,0,12,16,PPD/PSD.CDS-PP,0.41721854304635764,4963,313,2657.0,1993.0,0.06306669353213781,0.5353616764054,0.4015716300624622,"(40.169313, -7.171492499999999)",40.169313,-7.1714925,692.9,731.1,633.3,7.3,0.073
156,Proença-a-Nova,4508,262,0,0,0,10,21,10,29,75,27,43,15,0,2563,19,0,1409,0,14,11,PPD/PSD.CDS-PP,0.5685448092280391,7564,643,4493.0,2429.0,0.08500793231094658,0.5939978847170809,0.32112638815441563,"(39.7492692, -7.924331400000001)",39.7492692,-7.9243314,706.4,726.7,678.5,4.7,0.047
157,Vila Velha de Ródão,1993,148,0,0,0,1,7,10,11,137,20,16,6,0,572,21,0,1032,0,6,6,PS,0.5178123432012042,3223,173,1785.0,1265.0,0.05367669872789327,0.553831833695315,0.3924914675767918,"(39.6545102, -7.6712121)",39.654510200000004,-7.6712121,904.9,1032.3,716.5,4,0.04
158,Abrantes,19177,2487,0,0,0,99,107,131,245,1688,318,161,72,0,5712,64,35,7901,0,98,59,PS,0.41200396308077386,36062,4091,21927.0,10044.0,0.11344351394820032,0.6080361599467584,0.2785203261050413,"(39.4630563, -8.1995808)",39.4630563,-8.1995808,833.7,916.1,725.6,7.5,0.075
159,Alcanena,6874,612,0,0,0,33,32,28,94,708,106,67,38,0,2912,19,15,2161,0,27,22,PPD/PSD.CDS-PP,0.42362525458248473,13012,1685,8014.0,3313.0,0.12949584998462957,0.6158930218260068,0.25461112818936366,"(39.4583616, -8.669328799999999)",39.4583616,-8.6693288,821.2,853.8,775.5,4,0.04
160,Constância,2101,280,0,0,0,15,9,11,22,287,46,27,14,0,484,5,5,869,0,10,17,PS,0.41361256544502617,3994,550,2555.0,889.0,0.13770655983975963,0.6397095643465198,0.22258387581372058,"(39.4780719, -8.337225199999999)",39.478071899999996,-8.3372252,988.7,1135.1,741.4,5.8,0.057999999999999996
161,Entroncamento,10029,1695,0,0,0,57,56,37,157,939,86,137,76,0,2878,32,15,3764,0,58,42,PS,0.37531159637052547,20916,3112,13882.0,3923.0,0.14878561866513673,0.6637024287626697,0.18755976286096768,"(39.4611239, -8.478759)",39.4611239,-8.478759,853.3,927.1,752.9,4.7,0.047
162,Ferreira do Zêzere,4434,346,0,0,0,31,41,18,53,147,32,37,21,0,2351,23,16,1272,0,25,21,PPD/PSD.CDS-PP,0.5302210193955796,8091,884,5002.0,2206.0,0.1092571993573106,0.6182177728340131,0.27264862192559636,"(39.6932144, -8.2905257)",39.693214399999995,-8.2905257,713.2,777.6,634.7,3.9,0.039
163,Mação,4336,348,0,0,0,23,11,37,41,197,39,37,10,0,1957,17,13,1570,0,16,20,PPD/PSD.CDS-PP,0.45133763837638374,6519,482,3670.0,2368.0,0.07393772050928056,0.5629697806412026,0.36324589660990947,"(39.60433140000001, -7.981084500000001)",39.6043314,-7.9810845,683.3,744.4,629.2,5.3,0.053
164,Ourém,22878,1302,0,0,0,121,91,76,196,582,113,260,84,0,16067,74,82,3676,0,92,62,PPD/PSD.CDS-PP,0.7022904100008742,44579,5567,29195.0,9818.0,0.1248794275331434,0.6549047757912919,0.22023822876242177,"(39.6564974, -8.5773408)",39.6564974,-8.577340800000002,770.5,824.7,716.1,3,0.03
165,Sardoal,2308,287,0,0,0,8,12,16,38,147,31,19,7,0,919,11,4,786,0,10,13,PPD/PSD.CDS-PP,0.39818024263431545,3785,386,2418.0,982.0,0.10198150594451784,0.6388375165125495,0.259445178335535,"(39.5375181, -8.1612773)",39.53751810000001,-8.1612773,681.7,690.6,674.6,6.5,0.065
166,Sertã,8391,562,0,0,0,33,28,27,73,205,58,100,51,0,4874,42,0,2285,0,39,14,PPD/PSD.CDS-PP,0.5808604457156478,14919,1693,8977.0,4249.0,0.11347945572759568,0.6017159327032643,0.28480461156914,"(39.8052663, -8.098925699999999)",39.80526629999999,-8.0989257,697.5,724.9,666.6,6,0.06
167,Tomar,20280,2318,0,0,0,136,121,84,259,1320,244,244,108,0,8229,74,62,6907,0,82,92,PPD/PSD.CDS-PP,0.40576923076923077,37573,4098,23307.0,10169.0,0.10906768157985788,0.6203124584142868,0.2706464748622681,"(39.6053819, -8.4043125)",39.6053819,-8.4043125,758.1,821,691.9,4.7,0.047
168,Torres Novas,18629,2786,0,0,0,113,89,75,224,1984,283,235,129,0,5726,77,42,6711,0,85,70,PS,0.3602447796446401,35314,4431,21997.0,8887.0,0.12547431613524382,0.6228974344452625,0.25165656680070225,"(39.4790062, -8.540103)",39.4790062,-8.540103,817.3,849.8,774.7,4.6,0.046
169,Vila de Rei,1868,102,0,0,0,9,11,7,22,54,10,20,10,0,1236,11,0,354,0,12,10,PPD/PSD.CDS-PP,0.6616702355460385,3346,218,2024.0,1104.0,0.06515242080095636,0.6049013747758517,0.3299462044231919,"(39.6742376, -8.1557066)",39.6742376,-8.155706599999998,646.7,654.6,642.2,3.9,0.039
170,Vila Nova da Barquinha,3690,515,0,0,0,20,14,14,56,415,68,45,32,0,915,15,11,1519,0,20,31,PS,0.4116531165311653,7348,905,4516.0,1928.0,0.12316276537833425,0.6145890038105607,0.26238432226456176,"(39.4589562, -8.4322387)",39.4589562,-8.4322387,684.7,734.2,636.9,4.5,0.045
171,Almeida,3646,225,0,0,7,11,23,10,27,168,35,35,24,0,1854,13,0,1185,0,19,10,PPD/PSD.CDS-PP,0.5085024684585847,6133,375,3539.0,2219.0,0.06114462742540355,0.5770422305560085,0.36181314201858794,"(40.7254048, -6.905594199999999)",40.72540479999999,-6.9055941999999995,671.9,692.3,657.4,5,0.05
172,Belmonte,3226,371,0,0,0,50,8,9,14,265,34,43,15,0,917,23,0,1458,0,10,9,PS,0.4519528828270304,6483,679,4105.0,1699.0,0.10473546197747956,0.6331945087151011,0.2620700293074194,"(40.351063, -7.3408535)",40.351063,-7.340853500000001,664.1,761.2,610.3,8.7,0.087
173,Celorico da Beira,4166,337,0,0,5,6,16,12,30,135,29,50,14,0,2082,12,0,1428,0,7,3,PPD/PSD.CDS-PP,0.499759961593855,7116,748,4235.0,2133.0,0.10511523327712198,0.5951377178189995,0.2997470489038786,"(40.6335005, -7.3927217)",40.633500500000004,-7.3927217,638.9,668.8,619.3,7.3,0.073
174,Covilhã,26658,3353,0,0,0,172,107,48,206,2828,319,297,119,0,6959,83,0,12061,0,65,41,PS,0.45243454122589843,47922,5406,29753.0,12764.0,0.11280831350945286,0.620863069154042,0.26634948457910773,"(40.2804158, -7.4922407)",40.2804158,-7.492240700000001,764.6,812,715.7,8,0.08
175,Figueira de Castelo Rodrigo,3056,173,0,0,5,6,10,4,30,87,20,40,13,0,1413,8,0,1233,0,9,5,PPD/PSD.CDS-PP,0.46236910994764396,5789,647,3326.0,1817.0,0.11176368975643462,0.5745379167386423,0.3138711349110382,"(40.8946241, -6.963561299999999)",40.8946241,-6.963561299999999,662.1,681.4,649.0,7.4,0.07400000000000001
176,Fornos de Algodres,2812,158,0,0,3,4,15,3,10,79,15,28,13,0,1362,10,0,1096,0,10,6,PPD/PSD.CDS-PP,0.484352773826458,4683,460,2950.0,1274.0,0.09822763185991885,0.6299380738842623,0.27204783258594917,"(40.6201957, -7.539550699999999)",40.620195700000004,-7.5395506999999995,628.1,631.5,625.0,6.4,0.064
177,Fundão,14721,1856,0,0,0,54,103,39,137,794,194,141,64,0,5150,88,0,5985,0,81,35,PS,0.4065620542082739,27197,2980,16607.0,7611.0,0.10957090855609075,0.6106188182520131,0.2798470419531566,"(40.137963, -7.501077299999999)",40.137963,-7.5010773,720.9,757.3,680.7,7.7,0.077
178,Gouveia,7148,484,0,0,5,10,19,16,44,358,53,73,26,0,3294,16,0,2717,0,20,13,PPD/PSD.CDS-PP,0.4608282036933408,12817,1143,7400.0,4275.0,0.08917843489116017,0.5773581961457439,0.3335413903409534,"(40.4923318, -7.5936526)",40.492331799999995,-7.5936525999999995,688.5,712.7,669.9,7.3,0.073
179,Guarda,21897,2337,0,0,20,143,63,58,346,939,200,254,106,0,9533,60,0,7730,0,69,39,PPD/PSD.CDS-PP,0.43535644152166963,39672,4818,25977.0,8878.0,0.12144585601935874,0.654794313369631,0.22378503730590846,"(40.5308408, -7.2221421)",40.5308408,-7.2221421,785.1,815,747.9,6.3,0.063
180,Manteigas,1761,169,0,0,0,5,6,3,5,119,20,20,12,0,640,4,0,749,0,8,1,PS,0.4253265190232822,3117,252,1964.0,901.0,0.08084696823869104,0.630093038177735,0.2890599935835739,"(40.4022206, -7.538339300000001)",40.4022206,-7.5383393,658.8,657.8,659.7,7.3,0.073
181,Mêda,2653,138,0,0,2,9,4,6,13,75,16,36,7,0,1483,10,0,842,0,8,4,PPD/PSD.CDS-PP,0.5589898228420656,4715,422,2609.0,1684.0,0.0895015906680806,0.5533404029692471,0.3571580063626723,"(40.9670544, -7.259595099999999)",40.9670544,-7.2595951,665.1,684.9,647.1,3.6,0.036000000000000004
182,Pinhel,4752,294,0,0,8,12,21,13,28,189,37,44,26,0,2737,9,0,1308,0,21,5,PPD/PSD.CDS-PP,0.5759680134680135,8785,806,5035.0,2945.0,0.09174729652817303,0.5731360273192943,0.3352305065452476,"(40.778586, -7.135937699999999)",40.778586,-7.1359377,676.1,699,648.8,4,0.04
183,Sabugal,6091,507,0,0,3,19,33,17,20,215,67,133,41,0,3043,17,0,1935,0,23,18,PPD/PSD.CDS-PP,0.4995895583648005,11123,833,6051.0,4240.0,0.07488986784140969,0.5440079115346579,0.38119212442686323,"(40.3793416, -7.0498442)",40.379341600000004,-7.0498442,669.2,692.1,652.9,5.4,0.054000000000000006
184,Seia,12368,859,0,0,16,41,40,17,107,684,119,127,52,0,5335,31,0,4877,0,40,23,PPD/PSD.CDS-PP,0.43135510996119014,22885,2314,14223.0,6348.0,0.10111426698710946,0.6214987983395237,0.27738693467336684,"(40.4161238, -7.7088512)",40.416123799999994,-7.708851200000001,703.9,756,656.3,6.5,0.065
185,Trancoso,4814,317,0,0,2,11,23,9,20,139,39,53,16,0,2562,11,0,1595,0,8,9,PPD/PSD.CDS-PP,0.5321977565434151,9141,819,5519.0,2804.0,0.08959632425336396,0.6037632644130839,0.3067498085548627,"(40.7787604, -7.3491442)",40.778760399999996,-7.3491442,739.9,777.7,688.2,4.4,0.044000000000000004
186,Alcochete,8695,1116,0,0,9,104,39,38,147,1550,126,64,59,0,2397,21,0,2971,0,24,30,PS,0.3416906267970098,19153,3340,12666.0,3148.0,0.1743852138046259,0.6613063227692789,0.1643606745679528,"(38.7561726, -8.9598931)",38.7561726,-8.9598931,2059.2,3082,789.2,5.1,0.051
187,Almada,85804,10860,0,0,95,946,329,316,1866,14461,1094,821,458,0,21943,211,0,31773,0,330,301,PS,0.3702974220316069,169241,25449,105340.0,38452.0,0.1503713639129998,0.6224260078822508,0.22720262820474943,"(38.6765238, -9.165104699999999)",38.6765238,-9.165104699999999,919.6,976,872.6,6.7,0.067
188,Amadora,81739,9763,0,0,134,816,386,257,1671,9500,895,913,637,0,24040,196,0,31728,0,470,333,PS,0.38816232153561947,179056,27534,110498.0,41025.0,0.15377312125815387,0.6171141989098382,0.22911826467697258,"(38.7577603, -9.224547399999999)",38.757760299999994,-9.2245474,1133.4,1256.3,1001.1,5.6,0.055999999999999994
189,Barreiro,41950,5279,0,0,39,452,137,144,767,11062,717,346,298,0,6795,82,0,15448,0,148,236,PS,0.36824791418355185,75847,10767,45617.0,19463.0,0.14195683415296584,0.6014344667554419,0.2566086990915923,"(38.6608149, -9.0790724)",38.6608149,-9.0790724,889.8,968.6,814.4,8.4,0.084
190,Cascais,100054,10619,0,0,91,1243,466,354,2220,7091,737,922,577,0,45213,292,0,29524,0,372,333,PPD/PSD.CDS-PP,0.45188598156995224,211302,34056,135047.0,42199.0,0.16117216117216118,0.6391184181881856,0.1997094206396532,"(38.6967571, -9.4207438)",38.6967571,-9.4207438,985.7,1013.7,955.6,5.9,0.059000000000000004
191,Lisboa,301791,29105,0,0,277,6362,1071,898,5947,24476,2339,2219,1482,0,116578,765,0,108143,0,1132,997,PPD/PSD.CDS-PP,0.3862871987567555,505526,79835,282146.0,143546.0,0.15792461713146308,0.5581236177763359,0.283953743229824,"(38.7222524, -9.1393366)",38.722252399999995,-9.1393366,1272.2,1398.8,1145.9,8.3,0.083
192,Loures,99360,10811,0,0,136,855,449,336,1775,15776,1311,946,768,0,28578,207,0,36598,0,432,382,PS,0.3683373590982287,208505,32805,131537.0,44163.0,0.15733435649025204,0.6308577731948875,0.21180787031486056,"(38.831549, -9.1741095)",38.831549,-9.1741095,952.3,1004.3,874.2,5.4,0.054000000000000006
193,Mafra,36038,4284,0,0,80,380,244,164,789,2647,365,421,265,0,15435,105,0,10505,0,211,143,PPD/PSD.CDS-PP,0.4282979077640269,82935,14562,55176.0,13198.0,0.17558328811720023,0.6652920962199312,0.1591366732983662,"(38.9443106, -9.3320856)",38.9443106,-9.3320856,756.5,770.5,730.9,3.6,0.036000000000000004
194,Moita,32056,4459,0,0,62,279,129,98,653,9102,704,384,224,0,4995,78,0,10640,0,122,127,PS,0.33191914150237084,64692,10061,41664.0,12967.0,0.15552154825944475,0.6440363568911148,0.20044209484944042,"(38.6529133, -8.9900856)",38.652913299999994,-8.9900856,787.3,846.1,729.8,8.6,0.086
195,Montijo,21967,2969,0,0,27,249,81,82,409,3042,376,266,182,0,6313,57,0,7727,0,116,71,PS,0.3517549050849001,56024,9528,36971.0,9525.0,0.17006997001285162,0.6599136084535199,0.17001642153362845,"(38.7054501, -8.976149399999999)",38.7054501,-8.9761494,807.1,892.1,726.7,7,0.07
196,Odivelas,71214,8548,0,0,118,691,329,257,1502,7261,789,734,570,0,23109,188,0,26435,0,380,303,PS,0.3712051001207628,156956,25422,99840.0,31695.0,0.16196895945360484,0.6361018374576315,0.201935574301078,"(38.795369, -9.185179999999999)",38.795369,-9.18518,767.9,797.4,729.6,4.4,0.044000000000000004
197,Oeiras,90487,10010,0,0,112,1519,390,297,2041,7154,660,714,460,0,36076,223,0,30183,0,338,310,PPD/PSD.CDS-PP,0.39868710422491627,174737,27350,105810.0,41577.0,0.15652094290276244,0.6055386094530637,0.23794044764417382,"(38.6919934, -9.3118418)",38.6919934,-9.3118418,1425,1611,1213.1,5.2,0.052000000000000005
198,Palmela,28912,4348,0,0,28,319,115,123,556,5190,578,365,172,0,7104,93,0,9672,0,126,123,PS,0.3345323741007194,64188,10141,41814.0,12233.0,0.15798903221786004,0.6514301738642737,0.19058079391786628,"(38.569441, -8.9016937)",38.569441,-8.9016937,1093.3,1170.7,926.0,4.8,0.048
199,Seixal,76594,10590,0,0,150,791,302,303,1599,14173,1126,737,555,0,18366,196,0,27058,0,351,297,PS,0.353265268820012,165547,25910,108519.0,31119.0,0.15651144387998575,0.6555177683678955,0.18797682833273935,"(38.6410676, -9.0975)",38.64106760000001,-9.0975,975.7,1156.7,749.6,5.5,0.055
200,Sesimbra,23011,3375,0,0,43,231,106,89,564,3704,365,303,190,0,6154,52,0,7621,0,121,93,PS,0.3311894311416279,51127,8529,33978.0,8621.0,0.1668198799068985,0.6645803587145735,0.16861932051557885,"(38.4444674, -9.1020079)",38.4444674,-9.1020079,785.1,854.7,709.8,4.7,0.047
201,Setúbal,57068,8139,0,0,70,589,236,246,1240,9232,923,575,371,0,14578,137,0,20102,0,335,295,PS,0.3522464428401206,116655,18325,73391.0,24939.0,0.15708713728515708,0.6291286271484291,0.2137842355664138,"(38.5254047, -8.8941)",38.5254047,-8.8941,955.2,1065,818.1,6.8,0.068
202,Sintra,167404,22100,0,0,318,1553,900,639,4009,17123,1753,1772,1418,0,56298,412,0,57555,0,907,647,PS,0.3438089890325201,384992,62996,258011.0,63985.0,0.16362937411686476,0.6701723672180201,0.16619825866511512,"(38.8029127, -9.3816495)",38.8029127,-9.3816495,980.6,1056.5,879.4,4.8,0.048
203,Vila Franca de Xira,66349,9299,0,0,102,552,318,214,1284,11800,886,620,470,0,16493,164,0,23577,0,349,221,PS,0.35534823433661394,141036,22834,94332.0,23870.0,0.16190192574945403,0.6688505062537224,0.1692475679968235,"(38.9549771, -8.9889589)",38.9549771,-8.9889589,947.9,995.9,874.4,4.3,0.043
204,Alcácer do Sal,6295,560,0,0,5,41,20,17,44,1700,132,33,20,0,1010,17,0,2655,0,22,19,PS,0.4217633042096902,11927,1410,7077.0,3441.0,0.11821916659679718,0.5933596042592437,0.2885050725245242,"(38.3725007, -8.5110083)",38.3725007,-8.511008300000002,742.7,804.7,678.0,4,0.04
205,Grândola,7174,678,0,0,6,54,26,25,74,1966,154,42,53,0,1371,16,0,2668,0,18,23,PS,0.3718985224421522,14644,1817,9098.0,3729.0,0.12407812073204043,0.6212783392515706,0.25464354001638895,"(38.1762557, -8.5662971)",38.176255700000006,-8.5662971,744.8,807.3,687.6,5,0.05
206,Odemira,11713,1212,0,0,29,68,69,33,153,2298,364,92,71,0,2556,44,0,4582,0,55,87,PS,0.3911892768718518,24829,2859,15180.0,6791.0,0.11514760965000605,0.6113818518667687,0.27351081396753796,"(37.5972313, -8.6366851)",37.5972313,-8.6366851,700.5,701.5,699.4,5.2,0.052000000000000005
207,Santiago do Cacém,14065,1839,0,0,17,120,43,53,154,3146,280,123,64,0,3324,47,0,4732,0,66,57,PS,0.33643796658371844,28970,3539,17939.0,7492.0,0.12216085605799103,0.619226786330687,0.25861235761132206,"(37.9650235, -8.528161299999999)",37.9650235,-8.5281613,795.5,856.7,738.7,5.6,0.055999999999999994
208,Sines,6465,1064,0,0,10,102,21,38,94,1278,146,65,30,0,1309,17,0,2235,0,28,28,PS,0.345707656612529,13664,1922,8956.0,2786.0,0.1406615925058548,0.6554449648711944,0.2038934426229508,"(37.9571555, -8.860890699999999)",37.9571555,-8.860890699999999,1266.6,1385.9,970.5,9.1,0.091
209,Aljustrel,5185,416,0,0,2,10,14,8,34,1925,148,18,16,0,597,10,0,1955,0,17,15,PS,0.3770491803278688,8445,975,5211.0,2259.0,0.11545293072824156,0.6170515097690942,0.2674955595026643,"(37.8760582, -8.1649833)",37.8760582,-8.1649833,789,821.6,716.3,6.1,0.061
210,Almodôvar,3726,385,0,0,6,6,18,7,30,447,113,17,9,0,1078,10,0,1567,0,14,19,PS,0.4205582393988191,6851,789,4052.0,2010.0,0.11516566924536564,0.5914465041599767,0.29338782659465773,"(37.4891809, -8.090174)",37.4891809,-8.090174000000001,705.2,767.7,658.8,6.5,0.065
211,Alvito,1118,100,0,0,1,5,3,0,4,259,28,8,3,0,267,4,0,431,0,0,5,PS,0.3855098389982111,2464,285,1625.0,554.0,0.11566558441558442,0.6594967532467533,0.22483766233766234,"(38.2316311, -8.024700500000002)",38.2316311,-8.0247005,766.4,831.7,701.6,4.6,0.046
212,Barrancos,722,53,0,0,1,1,2,2,2,161,36,4,1,0,165,2,0,291,0,0,1,PS,0.40304709141274236,1678,226,1086.0,367.0,0.13468414779499405,0.6471990464839095,0.21871275327771156,"(38.1328809, -6.977312599999999)",38.1328809,-6.9773125999999985,646.6,661.1,629.6,15.8,0.158
213,Beja,17217,1623,0,0,14,84,61,44,158,4168,345,74,64,0,3914,38,0,6532,0,53,45,PS,0.37939246093976886,33913,5161,21223.0,7530.0,0.15218352844042107,0.6258072125733495,0.22203874620352076,"(38.0153039, -7.8627308)",38.0153039,-7.8627308000000005,820.5,835.1,803.6,6.8,0.068
214,Castro Verde,3574,414,0,0,9,10,8,5,32,1054,91,21,12,0,628,12,0,1260,0,4,14,PS,0.35254616675993283,7046,844,4574.0,1629.0,0.11978427476582458,0.6491626454726086,0.2311950042577349,"(37.6991315, -8.085826299999999)",37.6991315,-8.085826299999999,1041.8,1113.8,831.4,5.8,0.057999999999999996
215,Cuba,2293,109,0,0,2,11,2,6,13,762,67,5,6,0,382,9,0,906,0,3,10,PS,0.3951155691234191,4678,633,2986.0,1059.0,0.13531423685335614,0.6383069687900812,0.22637879435656263,"(38.156574, -7.8939317)",38.156574,-7.8939316999999996,720.8,757.7,682.2,7.2,0.07200000000000001
216,Ferreira do Alentejo,4000,330,0,0,4,14,12,6,33,978,143,18,12,0,718,11,0,1698,0,7,16,PS,0.4245,7928,994,4934.0,2001.0,0.12537840565085773,0.622351160443996,0.2523965691220989,"(38.05938, -8.1140689)",38.05938,-8.1140689,723.8,761.2,667.2,5.9,0.059000000000000004
217,Mértola,3820,257,0,0,4,13,15,12,30,1175,118,18,10,0,626,10,0,1499,0,4,29,PS,0.3924083769633508,6372,598,3522.0,2253.0,0.0938480853735091,0.5527306967984934,0.3535781544256121,"(37.6415148, -7.6606665)",37.641514799999996,-7.6606665,665.4,650.8,680.7,8.5,0.085
218,Moura,6028,399,0,0,9,13,13,9,24,1548,185,20,30,0,1315,14,0,2401,0,12,36,PS,0.39830789648307896,14004,2132,8703.0,3169.0,0.1522422165095687,0.62146529562982,0.22629248786061126,"(38.1314891, -7.3084571)",38.1314891,-7.3084571,730.2,767.5,682.4,13,0.13
219,Ourique,2740,147,0,0,2,9,7,9,23,418,45,11,11,0,884,12,0,1141,0,5,16,PS,0.41642335766423355,4780,466,2844.0,1470.0,0.09748953974895397,0.594979079497908,0.3075313807531381,"(37.6521402, -8.224390399999999)",37.6521402,-8.2243904,645.6,648,643.6,6.6,0.066
220,Serpa,7258,461,0,0,4,23,18,12,53,2649,185,28,22,0,1368,12,0,2371,0,15,37,PCP-PEV,0.3649765775695784,14715,1662,9327.0,3726.0,0.1129459734964322,0.6338430173292559,0.25321100917431194,"(37.94434469999999, -7.597874299999999)",37.9443447,-7.5978743,695.1,723.9,661.9,8.1,0.081
221,Vidigueira,2729,199,0,0,1,4,6,7,19,750,77,17,8,0,482,4,0,1141,0,4,10,PS,0.41810186881641626,5575,815,3461.0,1300.0,0.14618834080717488,0.6208071748878924,0.23318385650224216,"(38.2118842, -7.8005203)",38.2118842,-7.8005203,718.8,787.5,665.9,10.9,0.109
222,Almeirim,10310,1065,0,0,0,61,38,39,121,1164,168,127,80,0,2948,38,13,4376,0,39,33,PS,0.4244422890397672,22847,3225,14117.0,5506.0,0.14115638814724032,0.6178929399921215,0.24099444128331948,"(39.2075584, -8.625918799999999)",39.207558399999996,-8.6259188,743.5,778.5,699.0,5.3,0.053
223,Alpiarça,3749,361,0,0,0,11,10,14,35,1227,60,57,14,0,661,22,8,1243,0,12,14,PS,0.331555081355028,7182,959,4259.0,1965.0,0.13352826510721247,0.5930103035366193,0.27360066833751046,"(39.2591889, -8.5820055)",39.2591889,-8.5820055,726.7,776.3,673.1,4.9,0.049
224,Azambuja,9935,1404,0,0,25,89,59,20,133,1611,206,119,63,0,2407,33,0,3706,0,23,37,PS,0.37302466029189735,22308,2937,14598.0,4774.0,0.13165680473372782,0.6543840774610006,0.21400394477317555,"(39.0688462, -8.868323499999999)",39.0688462,-8.8683235,870.6,939.6,789.4,3.6,0.036000000000000004
225,Benavente,11831,1551,0,0,0,64,53,42,177,2059,276,123,100,0,3527,39,26,3684,0,57,53,PS,0.3113853435888767,30019,4890,19878.0,5252.0,0.16289683200639596,0.6621806189413372,0.17495586128785104,"(38.9817395, -8.8095549)",38.9817395,-8.8095549,856.6,929,754.7,6.3,0.063
