generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
0,3042,3185,3103,3067,998,1056,1053,994,1033,1038,1051,1011,1054,1054,1063,974,13415
0,3303,3361,3267,3255,1051,1122,1101,1104,1067,1113,1025,1131,1118,1083,1063,1084,14310
0,3371,3397,3579,3498,1149,1140,1113,1153,1095,1121,1118,1154,1181,1166,1137,1172,14991
0,3387,3325,3315,3207,1171,1128,1107,1080,1120,1030,1083,1108,1049,1134,1102,1077,14279
0,3340,3277,3129,3345,1080,1153,1129,1090,1037,1063,1103,1038,1091,1082,1109,1050,14157
1,815,852,1067,1406,308,300,416,405,368,343,483,493,391,399,377,461,4536
1,791,1038,877,1335,318,300,319,301,374,527,361,435,416,393,479,381,4478
1,911,754,890,1382,347,300,477,227,268,445,499,464,380,361,316,470,4320
2,407,478,1150,675,97,151,151,205,352,249,845,297,190,115,147,623,2998
1,1288,1013,986,1404,378,407,635,378,361,518,589,414,575,349,343,341,5094
2,657,1256,760,573,90,97,323,154,438,898,436,316,384,206,237,213,3700
1,1366,1481,1473,1882,493,567,520,484,675,546,577,591,523,584,417,614,6813
2,360,799,380,572,86,37,333,119,163,623,464,264,94,138,252,349,2300
3,801,709,1462,1171,148,249,378,388,865,318,1160,358,157,203,183,322,4557
3,487,263,829,302,71,20,456,4,295,203,921,74,29,23,30,648,1988
3,1484,1984,1024,984,43,8,203,161,1069,1154,373,474,173,457,390,295,7152
2,468,1022,632,854,271,188,388,241,422,747,440,194,153,265,111,184,3348
2,1507,1249,800,1912,247,175,736,627,653,919,620,739,370,419,251,245,5935
4,1389,186,1121,622,36,78,1130,11,894,74,1280,50,110,99,77,315,3482
4,1494,896,1490,1174,89,124,791,278,900,330,1383,424,125,346,267,546,5505
4,1395,1345,1229,450,18,3,35,69,1203,1097,168,75,66,262,260,63,6519
3,156,1087,351,999,57,72,654,322,367,963,133,12,24,329,2,26,3225
5,637,819,1109,941,1,0,262,4,1154,3,1119,995,5,4,4,134,4327
5,2303,263,1523,1517,27,112,1724,3,1553,29,2048,46,275,358,104,94,5839
5,1791,1416,1530,695,54,4,26,184,1427,1204,321,34,158,334,378,13,7727
3,3149,2375,1537,4251,505,38,988,1382,1300,1494,656,2152,860,867,721,298,12363
4,213,1713,256,1803,40,114,891,791,213,1004,61,1,24,811,3,3,5014
6,599,1517,1144,1643,3,0,92,3,1255,1,1137,1700,5,3,2,193,6412
6,2826,552,1797,2065,45,138,2000,0,1879,82,2556,82,270,493,135,90,7710
6,1598,1440,1880,1379,95,0,49,632,1587,1439,597,76,259,149,243,0,8468
4,2855,1880,1409,3439,255,25,1028,1045,1142,1010,742,1789,838,801,505,471,10515
7,770,1582,1177,1820,4,6,34,3,1445,0,1172,1836,5,4,1,268,6920
7,1847,1006,1299,1595,46,39,1802,2,1449,76,1937,56,106,224,20,51,6686
5,542,1692,358,1957,56,305,878,879,318,1042,44,21,21,861,10,5,5658
7,1358,1600,2646,2322,222,0,83,1646,1723,1340,1382,173,447,43,76,0,9717
8,1232,1148,1183,1884,3,4,42,1,1940,1,1214,1313,0,3,2,777,6594
8,1626,1313,1108,3315,27,19,2769,2,1510,76,2479,58,73,88,11,29,8583
6,890,1230,764,1618,48,282,1007,502,725,1176,67,27,15,530,4,2,5619
5,2838,1550,1225,3335,195,19,1238,1032,1302,583,725,1232,980,747,349,595,9899
8,1787,1962,3588,3151,316,0,147,2395,2291,1344,1973,216,654,8,51,1,12580
9,1750,1135,1056,2404,1,1,85,1,2360,1,1125,1280,3,3,4,1356,7470
9,1422,1926,690,4956,8,3,3841,1,1437,53,2801,46,3,9,1,9,10776
7,908,842,1072,1337,17,51,1154,229,996,1237,43,9,2,318,3,2,5257
6,2791,928,855,3445,196,6,652,831,2378,353,568,550,1379,1015,107,259,8744
9,2212,2408,3676,3487,407,2,315,2353,2276,1927,2035,100,911,4,19,1,14216
10,2351,1216,1135,2913,1,1,205,2,2906,0,1078,1303,3,6,1,1882,8842
10,1256,2676,538,4802,4,4,3777,2,1280,32,2633,28,3,1,3,5,11772
8,838,1342,1309,1525,2,12,1125,354,1021,1603,3,2,0,576,3,2,6325
10,2663,3460,4001,3887,359,6,669,2668,2102,2552,2385,13,1153,4,26,3,17082
11,2592,1244,1144,2898,1,0,478,3,2862,2,1038,1337,3,0,2,1900,9130
7,3387,571,1535,3305,142,2,491,694,3422,187,1328,406,1017,1198,57,356,9296
9,927,809,1903,1369,4,1,436,190,995,2029,5,4,3,431,1,2,6915
11,1182,3197,466,4585,2,2,3651,2,1198,8,2520,6,4,2,2,1,12462
12,3192,1264,1312,2994,1,1,908,0,3003,0,1094,1473,2,1,0,2014,10027
11,2847,3757,4179,3867,159,2,905,2761,2072,2731,2469,4,1423,2,14,2,17756
8,3237,326,1846,2778,77,3,277,391,3338,86,1777,225,667,1396,4,583,8550
10,1023,1176,2191,1686,4,3,362,286,1050,2317,2,3,1,845,1,11,8267
12,1099,2801,484,3788,2,2,3166,0,1031,9,2237,4,2,0,2,2,10887
13,3421,1166,1560,3205,3,4,1017,4,3219,3,1195,1529,4,1,2,2213,10510
9,2328,49,1986,1490,12,0,32,62,2358,11,1991,43,253,1101,1,905,5937
12,3147,3704,4492,4028,84,3,999,2883,2420,2689,2510,6,1635,1,2,3,18507
13,1042,2399,778,2707,4,3,2490,1,1000,2,2058,3,1,2,1,3,9284
11,1018,1677,2222,2113,2,6,741,190,1016,2274,2,4,3,1548,1,11,9262
14,3645,1253,1895,3203,5,4,1011,4,3193,3,1546,1806,7,5,2,2182,11224
10,2060,8,2016,1082,2,3,7,6,2044,7,2020,4,38,1026,4,997,5174
14,1015,2258,1005,2046,2,0,1999,1,1042,3,2012,2,1,1,0,1,8584
13,3191,3547,4788,4407,32,2,1002,3348,2747,2419,2687,2,1488,1,1,0,19137
12,1022,1189,2077,2076,2,2,256,21,1006,2053,2,5,5,1928,5,5,8438
15,3864,1122,1981,2938,2,1,1015,3,2901,1,1887,2037,0,1,6,1943,11013
11,2084,8,2041,1086,4,4,5,6,2076,5,2029,1,7,1075,1,1001,5224
15,1000,2738,1003,2002,2,1,1963,3,1012,3,2006,5,2,2,2,5,9480
14,3280,3384,5003,4824,7,3,1009,3788,2994,2180,2890,1,1286,1,2,1,19820
13,1002,1011,1987,2021,3,2,8,3,1017,1981,6,17,4,1994,3,2,8002
16,4017,1084,1894,2692,5,2,1071,6,2693,2,1874,2248,1,5,5,1690,10772
12,1917,6,1968,977,3,0,4,1,1915,3,1971,6,0,984,4,974,4871
16,1001,3343,1016,1920,2,4,1918,7,1018,2,1971,8,5,3,1,2,10619
17,4345,1266,1767,2361,5,2,1267,2,2388,1,1783,2798,1,0,3,1324,10904
13,1996,1,1997,1006,0,1,0,0,1995,1,2002,2,0,1012,3,984,5000
14,974,986,1940,1964,4,5,2,1,986,1932,0,17,4,1963,2,3,7809
15,3493,3453,5147,4975,2,3,1031,3919,3038,2159,3023,3,1273,3,2,0,20680
17,1006,3888,1000,2018,3,3,2003,1,1001,1,2013,0,1,4,1,4,11789
18,4327,1563,1842,2144,2,1,1481,4,2142,3,1914,3024,4,5,1,1107,11064
14,1973,2,1987,989,0,2,1,0,1959,3,1999,1,0,988,0,998,4951
18,1021,3904,1007,1962,3,6,1976,8,1008,7,1984,6,4,5,5,5,11771
15,1000,997,1985,1972,10,3,4,5,992,1985,3,21,4,1935,3,2,7941
16,3594,3323,5146,5111,3,2,1013,4044,3138,2062,3020,0,1304,1,2,1,20758
19,4827,1858,2236,2143,8,4,1777,10,2142,5,2443,3368,21,8,3,1131,12208
15,2012,2,2010,1037,5,3,3,3,2013,0,2013,2,2,1025,0,991,5062
19,1016,3998,1001,1964,8,5,1972,7,992,13,1958,11,7,8,7,6,11964
16,1016,1019,2008,1975,2,6,3,3,970,2011,2,35,4,1973,5,4,8018
17,4039,3484,4991,4952,3,4,1002,3946,2989,1988,2975,0,1429,2,1,3,21590
20,5473,2078,2323,2197,4,1,1932,2,2203,3,2680,3834,36,3,4,1185,13255
16,2005,19,1997,1006,7,5,4,2,1996,4,1973,3,4,998,4,1022,5032
20,1011,3950,1018,2008,5,0,1983,1,1012,3,2009,3,3,2,2,2,11949
17,1002,1015,1983,2012,2,3,4,2,1000,1989,3,42,3,1979,1,1,7995
17,2001,5,2013,1013,3,9,2,5,1998,3,1995,1,3,1005,4,1001,5035
21,5840,2119,2163,2126,9,7,1973,4,2092,2,2732,4082,28,3,4,1107,13453
21,999,3913,1021,1962,6,1,1952,2,1012,1,2005,2,1,2,4,5,11797
18,4394,3758,5077,4906,5,3,1020,3943,3016,1965,3003,6,1570,2,2,1,22734
18,995,975,1978,1962,2,1,1,5,1004,1978,1,26,2,1911,5,1,7883
18,1989,3,1986,998,1,1,3,1,1973,4,1998,0,2,1003,2,986,4978
22,1006,3998,990,2019,3,0,2008,3,984,1,1996,3,3,5,6,4,12010
22,5956,2108,2100,2066,5,5,1978,3,2055,4,2851,4112,23,6,2,1041,13375
19,1020,1003,2011,2022,1,5,5,2,1009,2006,0,47,3,1971,4,1,8058
19,4092,3694,4815,4531,10,5,983,3673,2837,1840,2834,4,1389,5,4,6,21674
19,1983,6,1957,992,7,2,4,4,1971,4,1949,6,1,992,3,993,4940
23,5898,2025,2021,2015,3,0,1971,3,1999,1,2895,4017,10,2,2,1013,13002
23,1010,3901,1019,1938,7,2,1947,8,1019,8,1962,9,2,1,4,2,11765
20,977,960,1948,1928,2,0,0,1,967,1961,2,36,0,1883,3,1,7770
21,1009,1017,1992,2009,7,3,6,7,1000,1990,4,34,3,1990,4,4,8002
24,998,3910,1033,1925,2,1,1923,1,1033,3,1989,2,6,3,2,3,11764
24,5872,2004,2023,2015,0,2,1972,4,2005,1,2885,4007,5,0,1,1010,12936
20,2040,6,1996,1022,2,7,3,3,2016,5,1991,5,1,1024,4,1001,5066
20,3727,3724,4878,4178,6,3,1049,3449,2797,1763,2758,2,1256,1,3,1,20926
22,1029,1025,2007,2042,1,3,11,7,995,1994,3,75,4,1987,5,3,8118
25,1003,3941,991,2018,2,2,2010,6,977,5,1989,5,1,4,4,2,11899
25,5713,1972,1966,1989,1,2,1968,0,1972,0,2757,3955,2,0,0,981,12642
21,2015,1,1984,997,1,1,4,2,2015,0,1997,1,3,991,1,981,4997
23,1011,1028,2019,2031,3,1,5,0,1016,2009,2,39,2,2004,2,1,8094
26,1010,4008,997,2051,0,3,2038,0,989,1,2017,1,2,2,2,0,12077
26,5432,2043,2019,1976,2,0,2003,2,1987,1,2489,3965,2,0,2,974,12513
22,1946,10,1959,979,4,6,4,1,1933,3,1968,2,1,983,1,980,4902
21,2948,3345,4430,3314,5,3,983,2879,2467,1413,2420,4,1080,4,1,3,17812
24,1014,997,2016,1996,3,5,1,5,1007,2008,8,46,8,1916,5,4,8030
27,1019,3929,1009,1974,2,3,1984,2,1001,3,1985,5,5,6,4,6,11856
27,5233,2035,2015,2004,1,2,1978,4,2001,1,2184,4081,4,1,6,998,12313
23,1958,3,1963,985,1,1,0,0,1964,0,1977,1,1,978,2,983,4910
25,1006,993,1980,2004,1,3,3,2,1013,1988,2,44,3,1941,7,1,7958
22,2405,3143,4166,2530,5,14,999,2370,2198,1163,2153,5,1059,6,8,2,15506
28,1015,4035,1023,2015,1,4,2004,4,1024,4,2016,6,4,2,1,2,12104
28,5027,1985,1996,1996,2,1,1956,2,2003,0,2061,3964,7,5,3,1008,11996
24,2028,13,1979,1019,1,7,3,3,2012,7,1982,2,9,1013,3,992,5044
26,1002,1010,2004,2017,0,2,2,2,1011,2004,0,24,2,1981,1,0,8037
23,2167,3052,4096,2189,3,6,997,2119,2071,1064,2082,5,1020,2,2,0,14637
29,1010,3925,1017,1944,3,1,1952,2,1023,2,1989,2,0,1,2,1,11814
29,4996,1977,2017,2007,3,11,1954,6,2015,3,2043,3938,3,5,2,1011,12000
25,1987,4,1996,975,0,2,0,1,1992,2,1992,2,2,973,1,994,4963
27,1013,1002,1966,2009,2,8,2,4,1008,1964,5,48,3,1980,1,6,7949
30,1006,3966,1023,1992,2,3,1991,1,1017,1,2013,2,1,1,4,2,11936
30,5045,2047,2063,2014,4,0,1995,2,2006,4,2061,4027,4,4,3,1026,12202
26,1945,3,1980,970,4,1,1,1,1950,1,1968,2,3,981,4,981,4899
28,998,989,1975,1984,1,4,5,4,1025,1974,4,36,0,1915,3,6,7915
24,2051,2955,3984,2122,3,2,952,2099,2074,974,1999,2,1008,2,4,4,14101
31,988,3966,971,2071,3,1,2038,4,961,1,2015,0,0,0,1,2,11966
29,998,1004,1971,1963,6,4,2,7,997,1977,4,29,3,1924,8,4,7907
31,5147,2075,2070,2047,7,1,1959,3,2031,4,2063,4120,8,4,2,1092,12384
27,2006,4,1977,992,2,0,2,2,2007,0,1960,3,1,995,6,994,4986
25,1936,2916,3872,1954,2,1,983,1951,1917,981,1949,1,961,0,2,4,13604
32,1017,3977,1004,2003,2,2,2000,2,1001,4,1999,2,2,2,5,1,11980
30,979,989,1944,1995,2,1,4,1,997,1933,1,15,0,2004,0,1,7855
28,2001,10,2000,1006,6,5,4,3,1991,4,1989,3,5,999,1,1003,5021
32,5320,2040,2080,2102,4,2,1750,5,2039,5,2080,4326,1,2,5,1230,12635
31,1018,1024,2020,2043,3,4,1,5,1032,2004,1,5,0,2038,3,4,8110
26,2044,3021,4052,2013,5,5,1001,2002,2013,1002,2038,3,1016,2,3,0,14170
33,1015,3909,1008,1940,1,5,1951,1,1003,3,1989,3,4,4,3,3,11774
29,1998,4,1996,1000,6,0,2,0,2005,2,1998,3,0,996,2,984,4998
33,6559,2224,2496,2234,2,4,1528,2,2231,2,2585,5239,4,1,3,1695,14730
32,999,1003,1990,1993,9,3,3,5,1005,1991,3,3,0,1989,2,3,7954
34,1004,3939,999,2016,1,0,1988,1,993,0,2018,3,2,2,3,4,11901
30,2027,4,2015,1031,0,4,1,4,2011,1,1993,5,3,1027,3,1021,5081
27,1977,2928,3951,1977,1,2,950,1972,1989,955,1978,1,1012,1,0,1,13804
34,7720,2321,2914,2371,2,3,1291,0,2404,3,3096,6066,2,2,1,2188,16594
33,1000,1013,1991,1996,3,3,2,1,974,1989,2,3,2,2018,4,1,7998
35,1003,3894,1025,1918,1,1,1924,2,1025,3,1969,3,4,3,0,0,11745
31,2017,4,1960,1001,2,2,4,2,2019,3,1959,2,3,999,4,981,4984
35,8215,2423,3090,2251,3,3,1264,5,2224,2,3388,6554,4,3,5,2221,17282
28,1958,2944,3904,1944,2,1,993,1943,1964,978,1943,2,1003,1,0,3,13667
34,1030,1019,2039,2048,5,5,3,4,1042,2030,4,2,3,2008,4,5,8157
36,1008,3901,995,1973,0,0,1990,3,991,1,1992,6,1,5,4,0,11761
32,1993,4,2011,1011,2,4,1,1,1987,4,2019,2,2,1007,4,982,5023
35,987,975,2003,1958,1,1,2,0,990,2000,0,3,1,1926,0,0,7922
36,8689,2495,3440,2095,3,3,1675,2,2094,5,3777,6822,2,5,5,2133,17912
37,993,3884,982,1947,5,4,1970,1,981,3,1958,1,6,2,1,3,11677
29,1974,2921,3982,1967,1,1,969,1975,1956,973,2012,3,990,6,3,2,13797
33,2008,12,2007,1010,6,0,3,2,2018,2,1994,2,4,1004,4,995,5040
36,974,986,1982,1938,1,0,1,1,987,1987,1,2,1,1916,0,2,7861
37,8924,2538,3596,2027,8,1,2114,0,1993,0,3805,6941,1,1,8,2052,18246
38,995,3967,1005,2010,6,5,1982,2,1010,2,1990,3,2,2,3,1,11946
37,988,992,1971,2005,3,2,1,1,1018,1960,2,0,2,1985,1,2,7935
30,1996,3001,4049,2001,3,2,1020,1988,1971,1019,2024,2,1003,1,1,3,14057
34,1974,7,1992,972,1,2,0,2,1973,2,1988,3,0,966,2,1005,4946
39,997,3962,985,2017,1,3,2010,5,988,3,1984,2,2,3,2,2,11917
38,9820,2564,3834,2072,3,0,2425,5,2084,8,3991,7472,5,8,7,2126,19446
38,1024,1014,2013,2040,0,3,3,1,1007,2004,1,1,2,2053,2,2,8103
35,1974,5,1975,1006,1,1,2,0,1985,0,1969,1,3,1010,2,985,4961
31,1998,2963,3986,2016,0,1,978,2020,1998,983,2007,1,1011,0,3,1,13923
40,1011,3971,1016,1990,3,2,1979,2,1017,2,2006,4,1,1,2,1,11956
39,1037,1051,2012,2026,2,2,2,3,975,2017,3,2,2,2087,3,3,8151
39,9555,2393,3693,2025,1,4,2312,2,2001,5,3804,7333,4,2,3,2058,18803
36,2044,14,2004,1025,5,6,5,2,2058,5,1993,2,7,1024,4,971,5092
32,2038,2983,4021,2050,11,4,989,2031,2041,983,2007,4,1034,7,3,6,14064
41,998,3974,985,2004,1,6,2007,1,982,0,1987,0,0,2,3,4,11929
40,981,951,1966,1935,3,4,2,3,989,1974,3,3,2,1887,0,3,7793
37,2005,6,2012,1012,2,3,1,2,2005,3,2025,2,2,993,2,992,5038
40,9497,2294,3675,2004,2,2,2217,3,1978,0,3774,7257,1,0,5,2107,18594
41,1012,1025,1999,2040,5,3,5,1,1028,2001,1,2,4,2026,5,2,8069
42,1027,4068,1025,2027,3,5,2031,3,1009,5,2030,1,4,2,4,3,12194
33,1991,2953,3974,1983,7,6,956,1995,1988,954,1997,5,994,1,1,8,13890
38,2001,3,1967,1001,2,2,6,5,1992,3,1975,5,3,995,3,981,4972
41,9077,2084,3378,1979,2,7,2000,3,1923,0,3501,6877,1,2,3,2089,17628
42,979,985,1954,1954,7,0,8,4,946,1956,6,4,5,1977,3,2,7826
43,975,3890,973,1990,1,0,1997,0,977,2,1955,1,0,4,1,5,11713
34,1989,2946,3985,1999,2,3,966,1991,2009,972,1989,3,1012,3,0,2,13886
43,997,996,2001,1972,1,4,0,2,997,2001,0,1,1,1961,0,1,7963
39,1988,9,1985,1019,3,2,7,3,1985,6,1991,5,2,1001,5,988,5004
42,9513,2064,3628,2020,3,3,2076,2,2030,5,3861,6881,4,2,6,2232,18345
44,1010,4014,1025,1988,1,0,1991,0,1031,0,2003,0,2,3,1,1,12041
44,1025,1026,2029,2015,4,4,7,6,1004,2008,11,7,7,2010,5,4,8113
40,2041,5,2011,1001,2,2,4,1,2038,3,2009,1,1,999,2,994,5060
45,1000,4043,999,2008,1,3,2000,0,994,2,1996,1,0,0,0,0,12103
35,1953,2939,3894,1874,2,0,999,1884,1895,1007,1956,3,967,2,1,2,13602
43,9707,2034,3769,2015,0,1,2024,1,2020,2,4246,6802,2,1,0,2359,18592
45,1006,1028,2021,2046,1,0,3,3,1017,2000,2,2,1,2047,3,0,8123
41,2059,6,2028,1023,2,4,3,1,2054,4,2024,2,1,1024,1,994,5118
46,997,3897,1003,1938,4,1,1948,1,1004,3,1973,4,1,2,3,6,11720
44,9534,2034,3766,2026,2,2,2020,7,2003,4,4473,6398,12,3,2,2387,18407
36,1997,2998,4014,1982,4,2,999,1985,1993,997,2012,1,1015,4,1,2,13967
46,1023,1011,1996,2016,6,2,4,3,1007,2005,6,4,6,1991,9,8,8041
47,986,3910,1003,1967,0,4,1979,1,999,1,1980,5,1,1,1,2,11758
42,2002,11,2003,985,3,4,7,1,1997,5,2002,5,1,984,1,987,5005
45,9181,2029,3558,2017,4,3,1987,2,1983,3,4403,6065,4,2,5,2279,17830
47,987,1007,1995,1988,2,4,2,0,980,1998,2,1,4,1999,3,3,7956
37,1929,2877,3861,1916,2,2,967,1937,1922,967,1942,6,957,4,2,1,13457
48,1001,3925,1004,1964,5,7,1952,7,1001,0,1979,11,5,5,7,3,11806
43,1983,1,1994,1011,2,2,1,1,1991,1,1976,2,2,1017,0,993,4990
48,1014,1008,1991,1997,2,4,6,4,1003,1978,4,7,3,2007,4,4,7994
46,9063,2048,3428,2067,7,1,2052,3,2086,0,4413,5791,2,6,1,2232,17618
49,1015,3996,1029,2004,1,3,1982,3,1028,3,2022,3,5,0,1,2,12035
38,2063,3077,4133,2065,0,1,1028,2045,2026,1022,2077,0,1022,0,0,0,14455
44,2018,6,2023,1014,4,1,5,3,2010,2,2010,4,2,1002,1,1014,5064
49,996,1012,1980,1980,4,2,2,4,963,1988,0,2,3,2017,2,0,7949
47,8485,2006,3088,2038,2,3,2013,2,2044,2,4122,5351,4,4,3,2062,16622
45,2036,3,2026,1035,0,1,0,1,2027,3,2018,4,3,1029,2,1011,5101
39,1971,2920,3956,1912,3,0,981,1931,1952,985,1966,2,995,1,3,1,13698
46,1992,7,1970,986,2,1,5,4,1985,6,1980,2,1,984,1,982,4957
48,8196,2020,3016,2031,4,4,1976,3,2030,4,4116,5089,5,5,3,2004,16283
40,1998,3001,3999,1949,5,6,1026,1929,1939,1020,2010,6,993,3,4,3,13950
47,2029,3,2009,1022,1,1,0,2,2028,4,2010,4,2,1022,0,987,5065
49,7785,1984,2914,1950,2,3,1937,5,1913,1,4134,4697,2,3,5,1922,15642
41,1944,2925,3903,1959,2,2,989,1967,1932,993,1973,2,954,1,3,4,13640
48,2025,1,1994,1024,1,2,2,1,2021,2,1997,3,6,1019,1,987,5046
49,2013,8,1997,1011,2,2,4,4,2014,6,1973,4,2,1011,2,1002,5032
42,1985,2953,3959,1997,5,4,973,1997,1997,986,1978,2,993,4,1,2,13846
43,2019,3006,4058,1985,6,4,996,1985,1987,1001,2037,3,1022,3,4,2,14086
44,1968,2959,3936,1972,3,4,971,1974,1962,978,1980,3,978,2,2,3,13810
45,2040,3051,4074,2054,1,1,1000,2038,2053,1005,2036,2,1040,3,4,2,14253
46,1949,2939,3912,1984,2,1,975,2000,1949,966,1986,2,961,3,3,4,13716
47,1980,2986,3993,1983,4,4,987,1983,1962,996,2007,3,978,2,1,2,13955
48,2000,3002,4000,2003,6,3,1001,1986,2010,1004,1987,3,1020,1,1,5,13983
49,1967,2941,3930,1945,2,1,981,1948,1930,989,1989,2,971,5,6,1,13741
